timestamp,axis1,axis2,axis3,steps,lux,inclineoff,inclinestanding,inclinesitting,inclinelying
2012-04-04T13:29:00Z,600,1007,883,5,0,0,10,0,0
2012-04-04T13:29:10Z,0,18,8,0,0,0,0,0,10
2012-04-04T13:29:20Z,0,0,0,0,0,0,0,0,10
2012-04-04T13:29:30Z,0,0,0,0,0,0,0,0,10
2012-04-04T13:29:40Z,0,0,0,0,0,0,0,0,10
2012-04-04T13:29:50Z,0,0,0,0,0,0,0,0,10
2012-04-04T13:30:00Z,55,123,40,2,0,6,0,0,4
2012-04-04T13:30:10Z,0,30,0,0,0,3,0,0,7
2012-04-04T13:30:20Z,22,151,18,0,0,9,0,0,1
2012-04-04T13:30:30Z,11,63,16,0,0,10,0,0,0
2012-04-04T13:30:40Z,0,0,0,0,0,0,0,0,10
2012-04-04T13:30:50Z,0,0,0,0,0,5,0,0,5
2012-04-04T13:31:00Z,0,0,0,0,0,7,0,0,3
2012-04-04T13:31:10Z,295,320,205,2,0,0,10,0,0
2012-04-04T13:31:20Z,9,47,20,1,0,7,0,0,3
2012-04-04T13:31:30Z,0,0,0,0,0,10,0,0,0
2012-04-04T13:31:40Z,64,76,81,0,0,9,0,1,0
2012-04-04T13:31:50Z,125,203,316,1,0,0,10,0,0
2012-04-04T13:32:00Z,0,0,0,0,0,6,0,0,4
2012-04-04T13:32:10Z,0,4,0,0,0,8,0,0,2
2012-04-04T13:32:20Z,216,135,102,0,0,0,10,0,0
2012-04-04T13:32:30Z,0,0,0,0,0,0,0,10,0
2012-04-04T13:32:40Z,0,16,0,0,0,0,0,10,0
2012-04-04T13:32:50Z,142,129,72,1,0,0,10,0,0
2012-04-04T13:33:00Z,73,0,14,0,0,0,10,0,0
2012-04-04T13:33:10Z,0,0,0,0,0,9,0,0,1
2012-04-04T13:33:20Z,0,0,0,0,0,10,0,0,0
2012-04-04T13:33:30Z,40,72,13,1,0,7,0,0,3
2012-04-04T13:33:40Z,16,60,5,1,0,4,0,0,6
2012-04-04T13:33:50Z,161,209,45,3,0,0,10,0,0
2012-04-04T13:34:00Z,20,35,0,3,0,9,0,0,1
2012-04-04T13:34:10Z,8,36,1,1,0,9,0,0,1
2012-04-04T13:34:20Z,21,25,0,2,0,8,0,0,2
2012-04-04T13:34:30Z,8,70,22,0,0,5,0,0,5
2012-04-04T13:34:40Z,0,0,0,0,0,0,0,0,10
2012-04-04T13:34:50Z,0,0,0,0,0,1,0,0,9
2012-04-04T13:35:00Z,0,0,0,0,0,10,0,0,0
2012-04-04T13:35:10Z,82,102,20,4,0,0,10,0,0
2012-04-04T13:35:20Z,21,12,0,1,0,8,0,0,2
2012-04-04T13:35:30Z,35,40,0,3,0,9,0,0,1
2012-04-04T13:35:40Z,20,85,20,1,0,9,0,0,1
2012-04-04T13:35:50Z,0,1,0,0,0,10,0,0,0
2012-04-04T13:36:00Z,0,0,0,0,0,8,0,0,2
2012-04-04T13:36:10Z,22,45,1,1,0,10,0,0,0
2012-04-04T13:36:20Z,6,62,19,0,0,7,0,0,3
2012-04-04T13:36:30Z,0,0,0,0,0,5,0,0,5
2012-04-04T13:36:40Z,0,0,0,0,0,9,0,0,1
2012-04-04T13:36:50Z,40,107,82,1,0,2,0,0,8
2012-04-04T13:37:00Z,34,101,6,1,0,2,0,0,8
2012-04-04T13:37:10Z,0,0,0,0,0,9,0,0,1
2012-04-04T13:37:20Z,314,410,173,4,0,0,10,0,0
2012-04-04T13:37:30Z,533,580,604,3,0,0,10,0,0
2012-04-04T13:37:40Z,604,467,469,4,0,0,10,0,0
2012-04-04T13:37:50Z,15,4,0,0,0,0,0,0,10
2012-04-04T13:38:00Z,0,0,0,0,0,0,0,0,10
2012-04-04T13:38:10Z,0,0,0,0,0,0,0,0,10
2012-04-04T13:38:20Z,0,0,0,0,0,0,0,0,10
2012-04-04T13:38:30Z,26,88,8,1,0,4,0,0,6
2012-04-04T13:38:40Z,139,208,51,3,0,0,10,0,0
2012-04-04T13:38:50Z,0,0,0,0,0,0,0,0,10
2012-04-04T13:39:00Z,45,93,0,2,0,2,0,0,8
2012-04-04T13:39:10Z,0,0,0,0,0,0,0,0,10
2012-04-04T13:39:20Z,0,0,0,0,0,0,0,0,10
2012-04-04T13:39:30Z,5,16,8,1,0,1,0,0,9
2012-04-04T13:39:40Z,65,159,20,2,0,6,0,0,4
2012-04-04T13:39:50Z,43,125,7,1,0,3,0,0,7
2012-04-04T13:40:00Z,0,0,0,0,0,0,0,0,10
2012-04-04T13:40:10Z,0,0,0,0,0,0,0,0,10
2012-04-04T13:40:20Z,0,0,0,0,0,0,0,0,10
2012-04-04T13:40:30Z,0,0,0,0,0,0,0,0,10
2012-04-04T13:40:40Z,0,0,0,0,0,2,0,0,8
