timestamp,axis1,axis2,axis3,steps,lux,inclineoff,inclinestanding,inclinesitting,inclinelying,sadeh,cole-kripke
2012-04-04T13:29:00Z,600,1025,891,5,0,0,10,0,50,1,1
2012-04-04T13:30:00Z,88,367,74,2,0,33,0,0,27,1,1
2012-04-04T13:31:00Z,493,646,622,4,0,33,20,1,6,1,1
2012-04-04T13:32:00Z,358,284,174,1,0,14,20,20,6,1,1
2012-04-04T13:33:00Z,290,341,77,5,0,30,20,0,10,1,1
2012-04-04T13:34:00Z,57,166,23,6,0,32,0,0,28,1,1
2012-04-04T13:35:00Z,158,240,40,9,0,46,10,0,4,1,1
2012-04-04T13:36:00Z,68,214,102,2,0,41,0,0,19,1,1
2012-04-04T13:37:00Z,1500,1562,1252,12,0,11,30,0,19,1,1
2012-04-04T13:38:00Z,165,296,59,4,0,4,10,0,46,1,1
2012-04-04T13:39:00Z,158,393,35,6,0,12,0,0,48,1,1
2012-04-04T13:40:00Z,0,0,0,0,0,2,0,0,58,1,1
2012-04-04T13:41:00Z,0,0,0,0,0,12,0,0,48,1,1
2012-04-04T13:42:00Z,376,790,841,5,0,0,20,0,40,1,1
2012-04-04T13:43:00Z,134,306,53,5,0,3,10,0,47,1,1
2012-04-04T13:44:00Z,77,547,75,7,0,13,0,0,47,1,1
2012-04-04T13:45:00Z,288,543,204,3,0,9,10,0,41,1,1
2012-04-04T13:46:00Z,1386,1287,1124,9,0,12,30,0,18,1,1
2012-04-04T13:47:00Z,0,0,0,0,0,1,0,0,59,1,1
2012-04-04T13:48:00Z,503,795,436,5,0,7,10,0,43,1,1
2012-04-04T13:49:00Z,2907,2777,3123,29,12,0,50,10,0,1,1
2012-04-04T13:50:00Z,1992,2225,1843,18,11,0,30,30,0,1,1
2012-04-04T13:51:00Z,5112,2622,2273,25,1659,0,60,0,0,1,1
2012-04-04T13:52:00Z,1993,940,448,4,2399,0,30,30,0,1,1
2012-04-04T13:53:00Z,2185,964,516,4,2391,0,37,23,0,1,1
2012-04-04T13:54:00Z,3274,2091,1689,16,1942,0,50,10,0,1,1
2012-04-04T13:55:00Z,4822,3794,4071,54,11,0,60,0,0,1,1
2012-04-04T13:56:00Z,1157,714,1172,5,0,47,10,0,3,1,1
2012-04-04T13:57:00Z,26,89,10,2,0,13,0,0,47,1,1
2012-04-04T13:58:00Z,204,310,23,9,0,32,10,0,18,1,1
2012-04-04T13:59:00Z,63,61,4,1,0,8,0,0,52,1,1
2012-04-04T14:00:00Z,49,95,42,2,0,6,0,0,54,1,1
2012-04-04T14:01:00Z,1246,1337,1022,14,0,0,20,0,40,1,1
2012-04-04T14:02:00Z,5491,3833,4974,39,4,0,60,0,0,1,1
2012-04-04T14:03:00Z,4055,3630,4908,33,0,0,50,10,0,1,1
2012-04-04T14:04:00Z,5809,5713,6034,30,0,0,60,0,0,1,1
2012-04-04T14:05:00Z,737,645,624,6,0,24,10,0,26,1,1
2012-04-04T14:06:00Z,0,0,0,0,0,11,0,0,49,1,1
2012-04-04T14:07:00Z,14,4,0,0,0,44,0,0,16,1,1
2012-04-04T14:08:00Z,0,0,0,0,0,60,0,0,0,1,1
2012-04-04T14:09:00Z,0,0,0,0,0,60,0,0,0,1,1
2012-04-04T14:10:00Z,0,0,0,0,0,60,0,0,0,1,1
2012-04-04T14:11:00Z,3646,3694,4366,37,0,9,50,0,1,1,1
2012-04-04T14:12:00Z,462,467,391,5,0,0,10,0,50,1,1
2012-04-04T14:13:00Z,224,487,130,8,0,3,10,0,47,1,1
2012-04-04T14:14:00Z,57,104,25,5,0,4,0,0,56,1,1
2012-04-04T14:15:00Z,0,0,0,0,0,0,0,0,60,1,1
2012-04-04T14:16:00Z,0,0,0,0,0,0,0,0,60,1,0
2012-04-04T14:17:00Z,202,400,37,6,0,3,10,0,47,1,1
2012-04-04T14:18:00Z,282,384,81,14,0,7,10,0,43,1,1
2012-04-04T14:19:00Z,487,462,224,8,0,5,20,0,35,1,1
2012-04-04T14:20:00Z,59,111,11,3,0,11,0,0,49,1,0
2012-04-04T14:21:00Z,108,168,37,7,0,9,0,0,51,1,1
2012-04-04T14:22:00Z,0,0,0,0,0,0,0,0,60,1,0
2012-04-04T14:23:00Z,148,269,40,7,0,12,10,0,38,1,1
2012-04-04T14:24:00Z,46,275,46,3,0,48,0,0,12,1,0
2012-04-04T14:25:00Z,597,1069,455,11,0,11,20,2,27,1,1
2012-04-04T14:26:00Z,275,552,90,12,0,4,20,0,36,1,1
2012-04-04T14:27:00Z,640,458,350,4,0,13,30,0,17,1,1
2012-04-04T14:28:00Z,412,344,288,12,0,14,10,0,36,1,1
2012-04-04T14:29:00Z,376,469,174,9,0,14,10,0,36,1,1
2012-04-04T14:30:00Z,1160,861,756,11,0,4,20,0,36,1,1
2012-04-04T14:31:00Z,4629,4671,4390,37,0,0,60,0,0,1,1
2012-04-04T14:32:00Z,0,0,0,0,0,8,0,0,52,1,1
2012-04-04T14:33:00Z,7,219,56,1,0,20,0,0,40,1,1
2012-04-04T14:34:00Z,5166,3290,5096,34,84,0,60,0,0,1,1
2012-04-04T14:35:00Z,4352,3996,3740,34,15,0,50,0,10,1,1
2012-04-04T14:36:00Z,0,2,0,0,0,5,0,0,55,1,1
2012-04-04T14:37:00Z,5152,2869,2709,22,581,10,50,0,0,1,1
2012-04-04T14:38:00Z,5168,1801,816,5,1366,0,60,0,0,1,1
2012-04-04T14:39:00Z,4446,3023,1949,24,1389,0,60,0,0,1,1
2012-04-04T14:40:00Z,358,411,616,7,0,0,20,40,0,1,1
2012-04-04T14:41:00Z,1938,1622,1459,20,0,0,40,20,0,1,1
2012-04-04T14:42:00Z,4373,2092,2246,12,455,0,30,30,0,1,1
2012-04-04T14:43:00Z,3453,3516,3592,38,185,0,40,20,0,1,1
2012-04-04T14:44:00Z,979,883,284,16,0,6,40,0,14,1,1
2012-04-04T14:45:00Z,354,476,24,17,0,23,30,0,7,1,1
2012-04-04T14:46:00Z,908,1103,415,8,0,36,20,0,4,1,1
2012-04-04T14:47:00Z,2157,1489,2802,18,0,26,30,0,4,1,1
2012-04-04T14:48:00Z,262,678,74,10,0,33,0,0,27,1,1
2012-04-04T14:49:00Z,284,381,36,15,0,36,0,0,24,1,1
2012-04-04T14:50:00Z,622,1192,598,10,0,22,10,0,28,1,1
2012-04-04T14:51:00Z,482,432,632,3,0,2,20,0,38,1,1
2012-04-04T14:52:00Z,0,0,0,0,0,0,0,0,60,1,1
2012-04-04T14:53:00Z,3,101,5,0,0,1,0,0,59,1,1
2012-04-04T14:54:00Z,13,33,23,0,0,2,0,0,58,1,1
2012-04-04T14:55:00Z,336,333,293,4,0,28,10,0,22,1,1
2012-04-04T14:56:00Z,102,156,292,2,0,5,10,20,25,1,0
2012-04-04T14:57:00Z,243,463,195,2,0,1,10,0,49,1,0
2012-04-04T14:58:00Z,0,0,0,0,0,0,0,0,60,1,0
2012-04-04T14:59:00Z,26,21,0,1,0,18,0,0,42,1,0
2012-04-04T15:00:00Z,110,215,33,3,0,7,0,0,53,1,0
2012-04-04T15:01:00Z,157,259,45,6,0,5,10,0,45,1,1
2012-04-04T15:02:00Z,138,435,64,5,0,17,0,0,43,1,0
2012-04-04T15:03:00Z,283,569,114,11,0,12,10,0,38,1,1
2012-04-04T15:04:00Z,2,16,8,0,0,0,0,0,60,1,1
2012-04-04T15:05:00Z,379,342,250,6,0,5,10,0,45,1,1
2012-04-04T15:06:00Z,408,368,409,6,0,3,20,0,37,1,1
2012-04-04T15:07:00Z,156,144,0,9,0,35,0,0,25,1,1
2012-04-04T15:08:00Z,80,271,34,3,0,9,0,0,51,1,1
2012-04-04T15:09:00Z,423,501,330,13,0,11,30,0,19,1,1
2012-04-04T15:10:00Z,41,37,94,1,0,0,0,0,60,1,1
2012-04-04T15:11:00Z,186,401,22,7,0,14,10,0,36,1,1
2012-04-04T15:12:00Z,111,263,34,5,0,6,10,0,44,1,1
2012-04-04T15:13:00Z,1139,1051,704,11,0,0,30,0,30,1,1
2012-04-04T15:14:00Z,0,0,0,0,0,0,0,0,60,1,1
2012-04-04T15:15:00Z,824,571,463,5,0,0,20,0,40,1,1
2012-04-04T15:16:00Z,2622,3447,2232,29,0,16,40,0,4,1,1
2012-04-04T15:17:00Z,5883,3508,2846,28,2394,0,60,0,0,1,1
2012-04-04T15:18:00Z,2322,1467,706,18,3340,0,59,1,0,1,1
2012-04-04T15:19:00Z,3431,1683,1038,18,3231,0,60,0,0,1,1
2012-04-04T15:20:00Z,5248,3888,3903,49,984,0,60,0,0,1,1
