period_start,period_end,wear,length,nonwear_algorithm,min_period_len,min_window_len,spike_tolerance,use_magnitude
2012-06-27T10:54:00Z,2012-06-28T00:00:00Z,TRUE,786,Choi Default,60,30,2,FALSE
2012-06-28T00:00:00Z,2012-06-28T02:37:00Z,FALSE,157,Choi Default,60,30,2,FALSE
2012-06-28T02:37:00Z,2012-06-28T11:54:00Z,TRUE,557,Choi Default,60,30,2,FALSE
2012-06-27T10:54:00Z,2012-06-28T00:00:00Z,TRUE,786,Choi Custom1,45,10,4,FALSE
2012-06-28T00:00:00Z,2012-06-28T02:37:00Z,FALSE,157,Choi Custom1,45,10,4,FALSE
2012-06-28T02:37:00Z,2012-06-28T03:24:00Z,TRUE,47,Choi Custom1,45,10,4,FALSE
2012-06-28T03:24:00Z,2012-06-28T05:39:00Z,FALSE,135,Choi Custom1,45,10,4,FALSE
2012-06-28T05:39:00Z,2012-06-28T06:16:00Z,TRUE,37,Choi Custom1,45,10,4,FALSE
2012-06-28T06:16:00Z,2012-06-28T07:25:00Z,FALSE,69,Choi Custom1,45,10,4,FALSE
2012-06-28T07:25:00Z,2012-06-28T11:54:00Z,TRUE,269,Choi Custom1,45,10,4,FALSE
2012-06-27T10:54:00Z,2012-06-27T12:03:00Z,TRUE,69,Choi Custom2,30,10,10,FALSE
2012-06-27T12:03:00Z,2012-06-27T12:37:00Z,FALSE,34,Choi Custom2,30,10,10,FALSE
2012-06-27T12:37:00Z,2012-06-28T00:00:00Z,TRUE,683,Choi Custom2,30,10,10,FALSE
2012-06-28T00:00:00Z,2012-06-28T05:39:00Z,FALSE,339,Choi Custom2,30,10,10,FALSE
2012-06-28T05:39:00Z,2012-06-28T06:16:00Z,TRUE,37,Choi Custom2,30,10,10,FALSE
2012-06-28T06:16:00Z,2012-06-28T07:25:00Z,FALSE,69,Choi Custom2,30,10,10,FALSE
2012-06-28T07:25:00Z,2012-06-28T11:54:00Z,TRUE,269,Choi Custom2,30,10,10,FALSE
