Date,Time,Axis1,Axis2,Axis3,VM,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Sleep or Awake?
6/27/2012,10:54 AM,1465,1791,2572,3460,13,0,0,40,20,0,W
6/27/2012,10:55 AM,207,218,270,404,1,0,0,10,50,0,W
6/27/2012,10:56 AM,169,257,270,409,3,0,0,11,49,0,W
6/27/2012,10:57 AM,0,0,0,0,0,0,0,0,60,0,W
6/27/2012,10:58 AM,157,174,248,341,1,0,0,10,50,0,W
6/27/2012,10:59 AM,23,23,279,281,1,0,0,0,60,0,S
6/27/2012,11:00 AM,0,0,0,0,0,0,0,0,60,0,S
6/27/2012,11:01 AM,0,0,0,0,0,0,0,0,60,0,S
6/27/2012,11:02 AM,0,0,0,0,0,0,0,0,60,0,S
6/27/2012,11:03 AM,0,0,0,0,0,0,0,0,60,0,S
6/27/2012,11:04 AM,0,0,0,0,0,0,0,0,60,0,S
6/27/2012,11:05 AM,0,0,0,0,0,0,0,0,60,0,S
6/27/2012,11:06 AM,1,18,0,18,0,0,0,0,60,0,S
6/27/2012,11:07 AM,0,0,0,0,0,0,0,0,60,0,S
6/27/2012,11:08 AM,0,0,0,0,0,0,0,0,60,0,S
6/27/2012,11:09 AM,0,0,0,0,0,0,0,0,60,0,S
6/27/2012,11:10 AM,0,0,0,0,0,0,0,0,60,0,S
6/27/2012,11:11 AM,0,0,0,0,0,0,0,0,60,0,S
6/27/2012,11:12 AM,0,0,0,0,0,0,0,0,60,0,S
6/27/2012,11:13 AM,0,0,0,0,0,0,0,0,60,0,W
6/27/2012,11:14 AM,298,256,438,588,4,0,0,10,50,0,W
6/27/2012,11:15 AM,3215,1774,3188,4863,38,4,0,30,30,0,W
6/27/2012,11:16 AM,121,254,225,360,2,0,0,41,19,0,W
6/27/2012,11:17 AM,230,371,218,488,2,0,0,20,0,40,W
6/27/2012,11:18 AM,0,0,9,9,0,0,0,0,1,59,W
6/27/2012,11:19 AM,491,724,613,1068,7,0,0,30,2,28,W
6/27/2012,11:20 AM,0,1,19,19,0,0,0,60,0,0,S
6/27/2012,11:21 AM,49,242,191,312,1,63,0,34,26,0,S
6/27/2012,11:22 AM,154,456,435,649,4,117,0,52,8,0,S
6/27/2012,11:23 AM,66,146,152,221,1,227,0,8,52,0,S
6/27/2012,11:24 AM,0,26,28,38,0,75,0,60,0,0,W
6/27/2012,11:25 AM,0,41,96,104,0,94,0,60,0,0,W
6/27/2012,11:26 AM,3959,2882,4118,6398,43,22,1,40,0,19,W
6/27/2012,11:27 AM,1144,1243,1944,2575,6,0,20,20,0,20,W
6/27/2012,11:28 AM,0,0,0,0,0,0,60,0,0,0,W
6/27/2012,11:29 AM,0,0,0,0,0,0,60,0,0,0,W
6/27/2012,11:30 AM,0,0,0,0,0,0,60,0,0,0,W
6/27/2012,11:31 AM,0,0,0,0,0,0,60,0,0,0,W
6/27/2012,11:32 AM,0,0,0,0,0,0,60,0,0,0,S
6/27/2012,11:33 AM,0,0,0,0,0,0,60,0,0,0,S
6/27/2012,11:34 AM,0,0,0,0,0,0,60,0,0,0,S
6/27/2012,11:35 AM,0,0,0,0,0,0,60,0,0,0,S
6/27/2012,11:36 AM,0,0,0,0,0,0,60,0,0,0,S
6/27/2012,11:37 AM,0,0,0,0,0,0,60,0,0,0,S
6/27/2012,11:38 AM,0,0,0,0,0,0,60,0,0,0,S
6/27/2012,11:39 AM,0,0,0,0,0,0,60,0,0,0,S
6/27/2012,11:40 AM,0,0,0,0,0,0,60,0,0,0,S
6/27/2012,11:41 AM,0,0,0,0,0,0,60,0,0,0,S
6/27/2012,11:42 AM,0,0,0,0,0,0,60,0,0,0,S
6/27/2012,11:43 AM,0,0,0,0,0,0,60,0,0,0,S
6/27/2012,11:44 AM,0,0,0,0,0,0,60,0,0,0,S
6/27/2012,11:45 AM,0,0,0,0,0,0,60,0,0,0,S
6/27/2012,11:46 AM,0,0,0,0,0,0,60,0,0,0,S
6/27/2012,11:47 AM,705,840,1170,1604,4,0,20,21,19,0,W
6/27/2012,11:48 AM,7,0,4,8,0,0,0,0,60,0,W
6/27/2012,11:49 AM,1720,1678,2120,3204,23,0,0,40,20,0,W
6/27/2012,11:50 AM,0,46,28,54,0,0,0,60,0,0,W
6/27/2012,11:51 AM,0,51,36,62,0,0,0,22,38,0,W
6/27/2012,11:52 AM,434,642,521,934,5,0,0,47,13,0,W
6/27/2012,11:53 AM,2704,1777,2410,4035,40,1213,0,60,0,0,W
6/27/2012,11:54 AM,1164,1359,1581,2388,20,1627,0,60,0,0,W
6/27/2012,11:55 AM,3422,2529,3584,5563,37,164,0,30,30,0,W
6/27/2012,11:56 AM,0,8,0,8,0,0,0,0,60,0,W
6/27/2012,11:57 AM,0,62,24,66,0,0,0,0,60,0,W
6/27/2012,11:58 AM,0,0,0,0,0,0,0,0,60,0,W
6/27/2012,11:59 AM,0,85,33,91,0,0,0,0,60,0,W
6/27/2012,12:00 PM,170,133,266,343,1,0,0,10,50,0,W
