period_start,period_end,wear,length,nonwear_algorithm,min_period_len,max_nonzero_count,spike_tolerance,spike_stoplevel,activity_threshold,use_magnitude
2012-06-27T10:54:00Z,2012-06-28T00:00:00Z,TRUE,786,Troiano Default,60,Inf,2,100,0,FALSE
2012-06-28T00:00:00Z,2012-06-28T02:37:00Z,FALSE,157,Troiano Default,60,Inf,2,100,0,FALSE
2012-06-28T02:37:00Z,2012-06-28T02:46:00Z,TRUE,9,Troiano Default,60,Inf,2,100,0,FALSE
2012-06-28T02:46:00Z,2012-06-28T03:59:00Z,FALSE,73,Troiano Default,60,Inf,2,100,0,FALSE
2012-06-28T03:59:00Z,2012-06-28T05:50:00Z,TRUE,111,Troiano Default,60,Inf,2,100,0,FALSE
2012-06-28T05:50:00Z,2012-06-28T07:25:00Z,FALSE,95,Troiano Default,60,Inf,2,100,0,FALSE
2012-06-28T07:25:00Z,2012-06-28T11:54:00Z,TRUE,269,Troiano Default,60,Inf,2,100,0,FALSE
2012-06-27T10:54:00Z,2012-06-28T00:00:00Z,TRUE,786,Troiano Custom1,45,Inf,4,300,0,FALSE
2012-06-28T00:00:00Z,2012-06-28T02:44:00Z,FALSE,164,Troiano Custom1,45,Inf,4,300,0,FALSE
2012-06-28T02:44:00Z,2012-06-28T02:46:00Z,TRUE,2,Troiano Custom1,45,Inf,4,300,0,FALSE
2012-06-28T02:46:00Z,2012-06-28T04:02:00Z,FALSE,76,Troiano Custom1,45,Inf,4,300,0,FALSE
2012-06-28T04:02:00Z,2012-06-28T04:03:00Z,TRUE,1,Troiano Custom1,45,Inf,4,300,0,FALSE
2012-06-28T04:03:00Z,2012-06-28T05:49:00Z,FALSE,106,Troiano Custom1,45,Inf,4,300,0,FALSE
2012-06-28T05:49:00Z,2012-06-28T06:03:00Z,TRUE,14,Troiano Custom1,45,Inf,4,300,0,FALSE
2012-06-28T06:03:00Z,2012-06-28T07:14:00Z,FALSE,71,Troiano Custom1,45,Inf,4,300,0,FALSE
2012-06-28T07:14:00Z,2012-06-28T11:54:00Z,TRUE,280,Troiano Custom1,45,Inf,4,300,0,FALSE
2012-06-27T10:54:00Z,2012-06-27T12:03:00Z,TRUE,69,Troiano Custom2,30,Inf,10,300,0,FALSE
2012-06-27T12:03:00Z,2012-06-27T12:37:00Z,FALSE,34,Troiano Custom2,30,Inf,10,300,0,FALSE
2012-06-27T12:37:00Z,2012-06-27T20:51:00Z,TRUE,494,Troiano Custom2,30,Inf,10,300,0,FALSE
2012-06-27T20:51:00Z,2012-06-27T21:25:00Z,FALSE,34,Troiano Custom2,30,Inf,10,300,0,FALSE
2012-06-27T21:25:00Z,2012-06-27T21:35:00Z,TRUE,10,Troiano Custom2,30,Inf,10,300,0,FALSE
2012-06-27T21:35:00Z,2012-06-27T22:07:00Z,FALSE,32,Troiano Custom2,30,Inf,10,300,0,FALSE
2012-06-27T22:07:00Z,2012-06-28T00:00:00Z,TRUE,113,Troiano Custom2,30,Inf,10,300,0,FALSE
2012-06-28T00:00:00Z,2012-06-28T04:02:00Z,FALSE,242,Troiano Custom2,30,Inf,10,300,0,FALSE
2012-06-28T04:02:00Z,2012-06-28T04:03:00Z,TRUE,1,Troiano Custom2,30,Inf,10,300,0,FALSE
2012-06-28T04:03:00Z,2012-06-28T05:49:00Z,FALSE,106,Troiano Custom2,30,Inf,10,300,0,FALSE
2012-06-28T05:49:00Z,2012-06-28T05:50:00Z,TRUE,1,Troiano Custom2,30,Inf,10,300,0,FALSE
2012-06-28T05:50:00Z,2012-06-28T07:25:00Z,FALSE,95,Troiano Custom2,30,Inf,10,300,0,FALSE
2012-06-28T07:25:00Z,2012-06-28T09:38:00Z,TRUE,133,Troiano Custom2,30,Inf,10,300,0,FALSE
2012-06-28T09:38:00Z,2012-06-28T10:21:00Z,FALSE,43,Troiano Custom2,30,Inf,10,300,0,FALSE
2012-06-28T10:21:00Z,2012-06-28T11:08:00Z,TRUE,47,Troiano Custom2,30,Inf,10,300,0,FALSE
2012-06-28T11:08:00Z,2012-06-28T11:53:00Z,FALSE,45,Troiano Custom2,30,Inf,10,300,0,FALSE
2012-06-28T11:53:00Z,2012-06-28T11:54:00Z,TRUE,1,Troiano Custom2,30,Inf,10,300,0,FALSE
