sleep_algorithm,period_algorithm,n_bedtime_start,n_wake_time_end,min_sleep_period,max_sleep_period,min_nonzero_epochs,in_bed_time,out_bed_time,onset,efficiency,latency,duration,total_sleep_time,wake_after_onset,nb_awakenings,ave_awakening,activity_counts,movement_index,fragmentation_index,sleep_fragmentation_index
Sadeh,Tudor-Locke Default,5,10,160,1440,0,2012-06-28T00:03:00Z,2012-06-28T07:38:00Z,2012-06-28T00:03:00Z,97.14,0,455,442,13,4,3.25,9126,5.934,40,45.934
Sadeh,Tudor-Locke Custom1,5,5,20,1440,5,2012-06-27T16:15:00Z,2012-06-27T16:46:00Z,2012-06-27T16:15:00Z,100.0,0,31,31,0,0,0.0,346,35.484,0,35.484
Sadeh,Tudor-Locke Custom1,5,5,20,1440,5,2012-06-27T20:55:00Z,2012-06-27T21:26:00Z,2012-06-27T20:55:00Z,100.0,0,31,31,0,0,0.0,261,25.806,0,25.806
Sadeh,Tudor-Locke Custom1,5,5,20,1440,5,2012-06-27T21:35:00Z,2012-06-27T22:09:00Z,2012-06-27T21:35:00Z,100.0,0,34,34,0,0,0.0,271,32.353,0,32.353
Sadeh,Tudor-Locke Custom1,5,5,20,1440,5,2012-06-28T00:03:00Z,2012-06-28T07:25:00Z,2012-06-28T00:03:00Z,99.55,0,442,440,2,2,1.0,2077,4.751,0,4.751
Sadeh,Tudor-Locke Custom1,5,5,20,1440,5,2012-06-28T09:41:00Z,2012-06-28T10:21:00Z,2012-06-28T09:41:00Z,100.0,0,40,40,0,0,0.0,329,20.0,0,20.0
Sadeh,Tudor-Locke Custom1,5,5,20,1440,5,2012-06-28T10:30:00Z,2012-06-28T10:53:00Z,2012-06-28T10:30:00Z,91.3,0,23,21,2,1,2.0,483,39.13,0,39.13
Sadeh,Tudor-Locke Custom2,10,12,60,1440,20,2012-06-27T19:03:00Z,2012-06-27T22:09:00Z,2012-06-27T19:03:00Z,76.88,0,186,143,43,5,8.6,31673,31.72,0,31.72
Sadeh,Tudor-Locke Custom2,10,12,60,1440,20,2012-06-27T22:56:00Z,2012-06-28T07:38:00Z,2012-06-27T22:56:00Z,91.76,0,522,479,43,11,3.91,27998,9.004,25,34.004
Sadeh,Tudor-Locke Custom2,10,12,60,1440,20,2012-06-28T09:41:00Z,2012-06-28T10:53:00Z,2012-06-28T09:41:00Z,84.72,0,72,61,11,2,5.5,10662,33.333,0,33.333
